foodcomponent,synthetic_footprint_carbon_kg
allspice,0.039
almond,0.448
almondina,0.471
almondmeal,0.401
almondmilk,0.483
alvice,0.234
anchovy,0.333
anise,0.121
anised,0.199
aniseed,0.148
apeseed,0.099
apple,0.101
applesauce,0.123
apricot,0.246
apricotsa,0.211
aromalemon,0.113
artichoke,0.082
aubergine,0.198
auringonkukkalesitiini,0.104
auringonkukkalesitiinil,0.153
avocado,0.576
bacon,0.644
banana,0.156
barley,0.052
barleymax,0.137
basil,0.039
basilic,0.073
basilikum,0.073
bayleaf,0.077
bazelnut,0.337
bean,0.156
beangum,0.148
beanie,0.152
beardateod,0.275
beef,0.991
beer,0.233
beere,0.248
beetsyrup,0.062
bell,0.233
belly,0.297
benzoate,0.175
beozoate,0.176
berry,0.133
beverage,0.173
bhamahhe,0.632
bilberry,0.223
birmingham,0.603
biscuit,0.177
bitartarate,0.199
bitartate,0.209
bitartrate,0.048
blackberry,0.178
blackcarrot,0.112
bluberry,0.168
blueberry,0.173
blueberryl,0.139
blueberrypowder,0.124
boysenberry,0.177
brazilnut,0.173
bread,0.162
breadcrumb,0.072
breadstick,0.055
broccoli,0.047
broccolipinach,0.013
broth,0.152
brownie,0.218
buckwheat,0.057
budowheat,0.071
butter,0.085
buttera,0.088
buttercream,0.017
butterfat,0.076
butterfinger,0.074
buttermilk,0.064
buttero,0.066
butteroil,0.015
butterreinfat,0.055
butterscotch,0.033
buttert,0.090
buttertt,0.048
butteruil,0.011
cabbage,0.199
cacao,0.604
cacaobutter,0.363
cacaot,0.348
caconut,0.188
cake,0.145
canola,0.417
caramel,0.129
caramelcolor,0.050
caramelise,0.283
caramelo,0.284
caramilk,0.363
cardamom,0.284
carrot,0.080
carthame,0.853
cashew,0.260
cashewkerne,0.158
cashewmilk,0.373
cashewnotter,0.264
cashewpahkina,0.299
cassava,0.182
cauliflower,0.123
celery,0.221
chamoy,0.820
champagne,0.417
cheese,0.919
cheesecake,0.778
cherpie,0.237
chestnut,0.336
chia,0.319
chicken,0.463
chickpea,0.107
chili,0.178
chilie,0.202
chilipepper,0.236
chilli,0.271
chive,0.250
chocolate,0.329
chocolatea,0.324
chocolateliquor,0.416
chocolatett,0.320
chokeberry,0.206
cider,0.094
cinnamon,0.028
citriced,0.076
citronjuice,0.089
cloudberry,0.115
clove,0.077
coacoanutter,0.175
coating,0.062
cocoa,0.336
cocoaa,0.338
cocoalife,0.207
cocoamass,0.241
cocoanut,0.588
cocoasolid,0.664
cocoat,0.673
coconut,0.592
coconutmilk,0.364
coconutoil,0.279
cocornass,0.115
cocounut,0.229
cod,0.485
coda,0.499
codonopsi,0.576
coffee,0.212
coffeepowder,0.240
comflour,0.031
comminute,0.312
cookie,0.95
coriander,0.030
corn,0.095
cornflou,0.037
cornflour,0.037
cornflower,0.074
cornichon,0.108
cornmeal,0.053
cornstarc,0.084
cornstarch,0.084
cornstrach,0.084
cornsyrup,0.106
corntarch,0.119
cottonseed,0.162
cottonseedoil,0.184
