foodcomponent,synthetic_price_nok
allspice,19
almond,45
almondina,47
almondmeal,50
almondmilk,9
alvice,21
anchovy,88
anise,19
anised,28
aniseed,23
apeseed,18
apple,5
applesauce,7
apricot,5
apricotsa,25
aromalemon,15
artichoke,12
aubergine,10
auringonkukkalesitiini,14
auringonkukkalesitiinil,19
avocado,18
bacon,74
banana,5
barley,8
barleymax,13
basil,2
basilic,2
basilikum,2
bayleaf,2
bazelnut,27
bean,16
beangum,15
beanie,16
beardateod,26
beef,66
beer,18
beere,19
beetsyrup,22
bell,21
belly,28
benzoate,15
beozoate,15
berry,17
beverage,14
bhamahhe,72
bilberry,26
birmingham,68
biscuit,15
bitartarate,17
bitartate,18
bitartrate,6
blackberry,21
blackcarrot,15
bluberry,20
blueberry,21
blueberryl,17
blueberrypowder,26
boysenberry,21
brazilnut,37
bread,26
breadcrumb,14
breadstick,12
broccoli,28
broccolipinach,15
broth,23
brownie,19
buckwheat,5
budowheat,12
butter,15
buttera,15
buttercream,18
butterfat,10
butterfinger,12
buttermilk,5
buttero,10
butteroil,5
butterreinfat,5
butterscotch,5
buttert,15
buttertt,15
butteruil,15
cabbage,23
cacao,20
cacaobutter,50
cacaot,30
caconut,15
cake,22
canola,5
caramel,31
caramelcolor,32
caramelise,38
caramelo,38
caramilk,5
cardamom,27
carrot,12
carthame,60
cashew,46
cashewkerne,35
cashewmilk,5
cashewnotter,47
cashewpahkina,50
cassava,15
cauliflower,16
celery,26
chamoy,70
champagne,87
cheese,45
cheesecake,32
cherpie,21
chestnut,27
chia,52
chicken,74
chickpea,23
chili,15
chilie,17
chilipepper,27
chilli,25
chive,28
chocolate,36
chocolatea,28
chocolateliquor,35
chocolatett,28
chokeberry,24
cider,23
cinnamon,16
citriced,11
citronjuice,22
cloudberry,15
clove,28
coacoanutter,14
coating,8
cocoa,8
cocoaa,29
cocoalife,20
cocoamass,29
cocoanut,40
cocoasolid,24
cocoat,9
coconut,19
coconutmilk,9
coconutoil,19
cocornass,16
cocounut,18
cod,65
coda,67
codonopsi,79
coffee,17
coffeepowder,19
comflour,5
comminute,25
cookie,15
coriander,16
corn,18
cornflou,14
cornflour,5
cornflower,13
cornichon,15
cornmeal,12
cornstarc,13
cornstarch,17
cornstrach,14
cornsyrup,15
corntarch,16
cottonseed,13
cottonseedoil,18
cottonsseed,13
courgette,25
cowpea,13
crab,82
crabmeat,65
cracker,15
craisin,26
cranberriest,20
cranberry,17
cranberrypreparation,19
cream,17
creamer,16
crepe,17
crispie,26
crisprice,11
croissant,13
cucumber,13
cumin,22
cupcake,27
curcumin,28
curcumine,20
cuttlefish,66
degg,3
derberry,18
deseeded,5
dill,21
dillweed,22
donut,20
doughnut,25
dragonfruit,27
drink,12
drinking,13
duck,66
duice,23
eanut,20
edamame,19
egg,2
eggehvite,1
eggnog,1
eggwhite,1
elderberry,20
epeautre,24
epice,18
extrudate,6
fennel,13
fenugreek,15
fig,12
figerar,24
filledbelgianchocolate,35
fish,75
flarseed,28
