target,result
wheat-flour,flour
cereal,cereal
flour,flour
wheat,wheat
cereal-flour,flour
milk-chocolate,chocolate
chocolate,chocolate
sugar,sugar
added-sugar,sugar
disaccharide,disaccharide
colza-oil,oil
rapeseed-oil,oil
egg,egg
chicken-egg,egg
monosaccharide,monosaccharide
fructose,fructose
glucose,glucose
stabiliser,stabiliser
raising-agent,agent
salt,salt
wheat-gluten,gluten
gluten,gluten
dairy,dairy
milk-powder,powder
vegetable-fiber,fiber
fiber,fiber
natural-flavouring,flavouring
flavouring,flavouring
cocoa-butter,butter
plant,plant
cocoa,cocoa
cocoa-paste,paste
emulsifier,emulsifier
vanilla-flavouring,flavouring
soya-lecithin,lecithin
nut,nut
prebiotic-blend,blend
protein-blend,blend
peanut-flour,flour
peanut,peanut
coconut-oil,oil
vegetable-oil,oil
sea-salt,salt
vitamin-e,e
vitamins,vitamin
almond,almond
tree-nut,nut
tapioca-fiber,fiber
pea-protein,protein
protein,protein
plant-protein,protein
tapioca,tapioca
starch,starch
hyaluronic-acid,acid
superfoods-blend,blend
millet,millet
apple-pulp,pulp
fruit,fruit
malaceous-fruit,fruit
apple,apple
kale,kale
vegetable,vegetable
brassica,brassica
cabbage,cabbage
quinoa,quinoa
buckwheat,buckwheat
cinnamon,cinnamon
condiment,condiment
spice,spice
chia-seed,seed
seed,seed
chia,chia
flax-seed,seed
flax,flax
barley-sprout,sprout
millet-sprout,sprout
alfalfa-sprout,sprout
flax-oil,oil
sunflower-seed,seed
sunflower,sunflower
lentil-sprout,sprout
adzuki-sprout,sprout
broccoli-sprout,sprout
wheat-grass,grass
oat-grass,grass
spinach,spinach
leaf-vegetable,vegetable
fruit-vegetable,vegetable
bell-pepper,pepper
turmeric,turmeric
banana,banana
cranberry,cranberry
mango,mango
beetroot,beetroot
root-vegetable,vegetable
taproot-vegetable,vegetable
broccoli,broccoli
carrot,carrot
onion,onion
blueberry,blueberry
berries,berrie
parsley,parsley
herb,herb
raspberry,raspberry
strawberry,strawberry
asparagus,asparagu
shoot-vegetable,vegetable
celery,celery
stalk-vegetable,vegetable
cucumber,cucumber
chlorella,chlorella
algae,algae
spirulina,spirulina
graviola-leaf,leaf
mangosteen,mangosteen
noni-fruit,fruit
acai-berry,berry
pomegranate,pomegranate
grape,grape
apricot,apricot
leite-egua,egua
sweetener,sweetener
glucose-syrup,syrup
medjoul-dates,date
walnut-kernel,kernel
walnut,walnut
juglans-regia,regia
chocolate-chunk,chunk
fresh-egg,egg
thickener,thickener
sunflower-lecithin,lecithin
milk-filling,filling
filling,filling
milk,milk
condensed-milk,milk
gelling-agent,agent
preservative,preservative
ingredients,ingredient
los-angeles,angele
types-i,i
v,v
chicory-fibre,fibre
chicory,chicory
water,water
black-carrot,carrot
tapioca-syrup,syrup
syrup,syrup
corn-fiber,fiber
sugarcane,sugarcane
sugarcane-juice,juice
vegetable-juice,juice
concord-grape,grape
black-grape,grape
green-tea,tea
tea,tea
ginger,ginger
blackberry,blackberry
bilberry,bilberry
artichoke,artichoke
elderberry,elderberry
elder,elder
blackcurrant,blackcurrant
coating,coating
sunflower-oil,oil
tangerine,tangerine
citrus-fruit,fruit
mandarin,mandarin
grape-seed,seed
brazil-nut,nut
vitamin-c,c
cholecalciferol,cholecalciferol
vitamin-d,d
sea-moss,moss
black-seed,seed
bladderwrack,bladderwrack
burdock,burdock
cider-vinegar,vinegar
vinegar,vinegar
dandelion,dandelion
yellow-dock,dock
manuka,manuka
iodine,iodine
minerals,mineral
pasteurised-milk,milk
ferment,ferment
fig,fig
cacahuetes,cacahuete
sesame,sesame
turquie,turquie
abricots,abricot
figues,figue
mures,mure
noix-melangees,melangee
canneberges,canneberge
dadelstuk-dadeistukjes,dadeistukje
incabesse,incabesse
dadelstuk-dadelstukjes,dadelstukje
goji,goji
amandes-brunes,brune
amandes-blanches,blanche
noix,noix
noisettes,noisette
date,date
brown-almonds,almond
white-almonds,almond
cashew-nuts,nut
hazelnut,hazelnut
rice-flour,flour
rice,rice
pommes,pomme
canneile,canneile
invert-sugar,sugar
sugar-syrup,syrup
acid,acid
dark-chocolate,chocolate
modified-starch,starch
butterfat,butterfat
fat,fat
milkfat,milkfat
wholemeal-flour,flour
honey,honey
yeast,yeast
canola-oil,oil
wheat-bran,bran
wheat-starch,starch
white-vinegar,vinegar
distilled-vinegar,vinegar
enzyme,enzyme
for-freshness,freshness
peanuts-lactose,lactose
palm-fat,fat
whey-powder,powder
whey,whey
malt,malt
malted-barley,barley
humectant,humectant
egg-white,white
vanilla,vanilla
vanilla-extract,extract
fraises,fraise
palm-oil,oil
molasses,molasse
ginger-powder,powder
calcium,calcium
iron,iron
thiamin,thiamin
skimmed-milk,milk
roasted-peanuts,peanut
sesame-seeds,seed
potato,potato
tuber,tuber
cheese,cheese
onion-seasoning,seasoning
lactose,lactose
whey-protein,protein
animal-protein,protein
milk-proteins,protein
cheese-powder,powder
acidity-regulator,regulator
garlic,garlic
colour,colour
antioxidant,antioxidant
milk-flavouring,flavouring
dried-tomatoes,tomatoe
tomato,tomato
dehydrated-onion,onion
firming-agent,agent
soy-sauce,sauce
sauce,sauce
chili-pepper,pepper
dried-garlic,garlic
paprika-powder,powder
paprika,paprika
walkers,walker
sucrose,sucrose
mixed-spices,spice
smoked-salt,salt
maltodextrin,maltodextrin
aniseed,aniseed
clove,clove
allspice,allspice
powdered-almonds,almond
potato-flakes,flake
artificial-flavouring,flavouring
gum-base,base
vitamin-a,a
retinyl-palmitate,palmitate
oat,oat
oat-flour,flour
leaving,leaving
corn,corn
torula-yeast,yeast
cottonseed,cottonseed
soya-bean,bean
legume,legume
pulse,pulse
soya,soya
cheddar,cheddar
pyeast-extract,extract
yeast-extract,extract
ing,ing
reduced-iron,iron
thiamin-mononitrate,mononitrate
folic-acid,acid
folate,folate
lactic-ferments,ferment
microbial-culture,culture
soured-milk,milk
food-coloring,coloring
ppell-tx,tx
palm,palm
hydrolyzed-yeast,yeast
soya-oil,oil
lake,lake
ainosinate,ainosinate
butter-milk,milk
iodised-salt,salt
flavoring-vanillin,vanillin
unpeeled-potatoes,potatoe
oil,oil
hydrogenated-oil,oil
peanut-paste,paste
mix-chocolate,chocolate
apple-juice,juice
juice,juice
fruit-juice,juice
blueberry-juice,juice
strawberry-juice,juice
filtered-water,water
stevia,stevia
corn-syrup,syrup
coconut,coconut
corn-flour,flour
barley-s,s
malt-extract,extract
extract,extract
vegetable-extract,extract
chickpea,chickpea
tahini,tahini
sesame-paste,paste
olive-oil,oil
lemon-juice,juice
cayenne-pepper,pepper
flatbread-ingredients,ingredient
cane-sugar,sugar
barley,barley
durum-wheat,wheat
semolina,semolina
poppyseed,poppyseed
poppy,poppy
apple-puree,puree
puree,puree
dr,dr
pepper,pepper
grape-juice,juice
concentrated-juice,juice
passionfruit-orange,orange
papaya,papaya
guava,guava
carnuba-wax,wax
sodium-chloride,chloride
sodium,sodium
inulin,inulin
corn-starch,starch
sodium-citrate,citrate
citrict-acid,acid
glazing-agent,agent
confectioners-glaze,glaze
sodium-actate,actate
nonpareils,nonpareil
cocoa-powder,powder
concentrate,concentrate
wheat-wafers,wafer
pastry,pastry
dough,dough
hazelnut-paste,paste
tamari,tamari
cocoa-solids,solid
brown-sugar,sugar
buttermilk,buttermilk
soya-flour,flour
barley-flour,flour
dolomite,dolomite
caramel-paste,paste
s,s
cream,cream
golden-sultanas,sultana
shea-butter,butter
vegetable-fat,fat
coconut-sugar,sugar
palm-sugar,sugar
pistachio-nuts,nut
pecan-nut,nut
fruit-pectin,pectin
red-raspberries,raspberrie
cherry,cherry
apricot-puree,puree
orange-zest,zest
orange,orange
orange-juice,juice
margarine,margarine
cookie-bits,bit
cottonseed-oil,oil
other-spices,spice
soy-protein,protein
cardamom,cardamom
nutmeg,nutmeg
sesame-oil,oil
soy-milk,milk
preparation,preparation
soy-preparation,preparation
maple-syrup,syrup
coconut-milk,milk
ground-almonds,almond
coffee,coffee
ergocalciferol,ergocalciferol
casein,casein
bengal-gram,gram
natural-colours,colour
ii,ii
pure,pure
natural-honey,honey
creamed-honey,honey
lavander-honey,honey
spread,spread
pretzel,pretzel
corn-oil,oil
raisin,raisin
concentrated,concentrated
apricot-juice,juice
wheat-fiber,fiber
wholemeal-oat,oat
tart-cherries,cherrie
rosemary-honey,honey
milk-ingredients,ingredient
canola,canola
rapeseed,rapeseed
graham-flour,flour
anhydrous-dextrose,dextrose
vegetable-pigment,pigment
malt-syrup,syrup
whole-wheat,wheat
oat-flakes,flake
made-of,of
tapioca-dextrin,dextrin
clarified-pineapple,pineapple
passionfruit,passionfruit
peppermint-oil,oil
mint,mint
peppermint,peppermint
whole-milk,milk
potato-starch,starch
lemon,lemon
havouring,havouring
herb-extract,extract
capsicum-extract,extract
dried-oregano,oregano
oregano,oregano
ginger-coriander,coriander
star-anise,anise
cumin,cumin
sucre,sucre
maltodextrine,maltodextrine
sel,sel
acidifiant,acidifiant
conservation,conservation
acide-citrique,citrique
rose-water,water
rose-petals,petal
oat-fibre,fibre
tapioca-flour,flour
white-corn,corn
sweet-potato,potato
pumpkin,pumpkin
safflower,safflower
essential-oil,oil
natural-extract,extract
glaze,glaze
whole-egg,egg
modified-whey,whey
cornmeal,cornmeal
bran,bran
blueberry-scones,scone
pie-shortening,shortening
infused-blueberry,blueberry
icing-sugar,sugar
caraway-seed,seed
caraway,caraway
cocoa-liquor,liquor
bourbon-vanilla,vanilla
strawberry-jam,jam
jam,jam
white-chocolate,chocolate
thiamin-monitrate,monitrate
brown-rice,rice
